##NAMES=Magnetite
##RRUFFID=R060656
##IDEAL CHEMISTRY=Fe^2+^Fe^3+^_2_O_4_
##LOCALITY=Jacupiranga Pegmatite, Sao Paulo State, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black rounded octahedra associated with phlogopite and diopside
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R060656
##MEASURED CHEMISTRY=(Fe^2+^_0.98_Mg_0.01_Mn_0.01_)(Fe^3+^_1.96_Ti_0.02_Mg_0.02_)O_4_
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 8.4003 b: 8.4003 c: 8.4003 alpha: 90 beta: 90 gamma: 90 volume: 592.78 crystal system: cubic
##FILETYPE=RAW Powder Diffraction Profile

12.09, 69
12.1, 71
12.11, 85
12.12, 56
12.13, 77
12.14, 72
12.15, 86
12.16, 90
12.17, 68
12.18, 84
12.19, 72
12.2, 68
12.21, 87
12.22, 76
12.23, 73
12.24, 64
12.25, 64
12.26, 77
12.27, 76
12.28, 76
12.29, 81
12.3, 71
12.31, 84
12.32, 67
12.33, 75
12.34, 92
12.35, 77
12.36, 77
12.37, 79
12.38, 77
12.39, 79
12.4, 70
12.41, 82
12.42, 85
12.43, 83
12.44, 75
12.45, 86
12.46, 75
12.47, 91
12.48, 93
12.49, 86
12.5, 81
12.51, 87
12.52, 77
12.53, 86
12.54, 60
12.55, 65
12.56, 82
12.57, 62
12.58, 85
12.59, 76
12.6, 62
12.61, 88
12.62, 73
12.63, 75
12.64, 75
12.65, 72
12.66, 64
12.67, 73
12.68, 67
12.69, 53
12.7, 82
12.71, 82
12.72, 96
12.73, 83
12.74, 69
12.75, 76
12.76, 69
12.77, 91
12.78, 73
12.79, 71
12.8, 95
12.81, 80
12.82, 99
12.83, 68
12.84, 84
12.85, 73
12.86, 77
12.87, 87
12.88, 87
12.89, 75
12.9, 83
12.91, 78
12.92, 89
12.93, 69
12.94, 85
12.95, 92
12.96, 70
12.97, 81
12.98, 77
12.99, 69
13, 70
13.01, 88
13.02, 55
13.03, 89
13.04, 80
13.05, 65
13.06, 76
13.07, 84
13.08, 85
13.09, 66
13.1, 78
13.11, 79
13.12, 79
13.13, 78
13.14, 91
13.15, 78
13.16, 90
13.17, 62
13.18, 76
13.19, 76
13.2, 105
13.21, 74
13.22, 68
13.23, 70
13.24, 77
13.25, 78
13.26, 92
13.27, 68
13.28, 70
13.29, 73
13.3, 69
13.31, 56
13.32, 79
13.33, 72
13.34, 89
13.35, 76
13.36, 89
13.37, 71
13.38, 73
13.39, 81
13.4, 61
13.41, 80
13.42, 95
13.43, 75
13.44, 72
13.45, 68
13.46, 79
13.47, 88
13.48, 87
13.49, 73
13.5, 82
13.51, 77
13.52, 65
13.53, 85
13.54, 66
13.55, 71
13.56, 86
13.57, 77
13.58, 73
13.59, 72
13.6, 71
13.61, 85
13.62, 83
13.63, 88
13.64, 81
13.65, 75
13.66, 76
13.67, 73
13.68, 74
13.69, 86
13.7, 76
13.71, 67
13.72, 78
13.73, 77
13.74, 85
13.75, 82
13.76, 82
13.77, 74
13.78, 72
13.79, 80
13.8, 101
13.81, 76
13.82, 73
13.83, 67
13.84, 83
13.85, 86
13.86, 95
13.87, 69
13.88, 65
13.89, 81
13.9, 82
13.91, 79
13.92, 55
13.93, 68
13.94, 89
13.95, 80
13.96, 80
13.97, 82
13.98, 68
13.99, 71
14, 55
14.01, 87
14.02, 74
14.03, 94
14.04, 87
14.05, 74
14.06, 85
14.07, 104
14.08, 71
14.09, 84
14.1, 86
14.11, 75
14.12, 86
14.13, 75
14.14, 73
14.15, 71
14.16, 70
14.17, 57
14.18, 86
14.19, 76
14.2, 71
14.21, 93
14.22, 83
14.23, 66
14.24, 83
14.25, 70
14.26, 75
14.27, 86
14.28, 88
14.29, 65
14.3, 78
14.31, 79
14.32, 73
14.33, 71
14.34, 72
14.35, 73
14.36, 89
14.37, 85
14.38, 87
14.39, 84
14.4, 69
14.41, 75
14.42, 89
14.43, 74
14.44, 69
14.45, 78
14.46, 74
14.47, 69
14.48, 79
14.49, 97
14.5, 69
14.51, 72
14.52, 89
14.53, 78
14.54, 71
14.55, 65
14.56, 77
14.57, 79
14.58, 86
14.59, 72
14.6, 71
14.61, 83
14.62, 81
14.63, 73
14.64, 58
14.65, 77
14.66, 83
14.67, 85
14.68, 76
14.69, 70
14.7, 63
14.71, 70
14.72, 78
14.73, 71
14.74, 84
14.75, 86
14.76, 83
14.77, 82
14.78, 79
14.79, 68
14.8, 62
14.81, 78
14.82, 71
14.83, 83
14.84, 71
14.85, 71
14.86, 78
14.87, 72
14.88, 82
14.89, 68
14.9, 93
14.91, 87
14.92, 70
14.93, 78
14.94, 76
14.95, 79
14.96, 79
14.97, 72
14.98, 73
14.99, 80
15, 60
15.01, 60
15.02, 69
15.03, 87
15.04, 79
15.05, 72
